face_id,timestamp,r,g,b
23,1781860213.847213,101.33526400,86.87737653,63.89886376
23,1781860213.902898,90.47503695,80.17339396,58.59048469
23,1781860213.967711,85.47200399,75.17692720,53.50788240
23,1781860214.024271,90.48084382,75.13614319,60.57368012
23,1781860214.091036,89.38853178,72.31382865,53.57257555
23,1781860214.154385,89.81772906,72.79297358,54.36378843
23,1781860214.228460,79.50806101,64.30347666,48.05254019
23,1781860214.305623,67.44181231,54.54396282,40.28282129
23,1781860214.374120,55.72784815,45.19493361,32.65818744
24,1781860209.158150,116.79895698,104.70909021,104.94991367
24,1781860209.251233,118.83522466,106.70346786,106.95950780
24,1781860209.312587,117.07204717,102.96277553,101.56321969
24,1781860210.029683,133.63227900,121.55152054,118.23373882
24,1781860210.099482,141.37340249,132.28495117,128.22129019
24,1781860210.251768,147.71265474,137.45152982,132.77253282
24,1781860210.303442,149.74506539,140.03102050,136.23149651
24,1781860210.559487,156.93681056,143.65003132,139.70197129
24,1781860210.614799,159.74160392,146.92785151,142.58748993
24,1781860211.026860,187.81947796,180.70677256,176.75897989
24,1781860211.102024,177.65162518,170.65373992,167.78472610
24,1781860211.163468,158.45848883,154.14087073,147.45305970
24,1781860211.257914,146.91152964,140.21826792,132.54205660
24,1781860211.318520,141.27598634,138.18976214,131.38443463
24,1781860211.389528,137.95480458,133.50182972,127.32021421
24,1781860211.429610,140.05803087,131.11756531,131.60093164
24,1781860211.507433,135.10298408,123.80104718,118.45914605
24,1781860211.563396,128.91707675,115.40184507,111.72477214
24,1781860211.626165,126.48022854,111.79527380,101.62165324
