face_id,timestamp,cleaned_r,cleaned_g,cleaned_b,cleaned_rppg
6,1781860051.161802,-0.74867717,-0.19165402,-0.46975283,2.15475848
6,1781860051.243262,-0.77989812,-0.15567253,-0.44945605,2.36862164
6,1781860051.295785,-0.03389154,-0.03909044,-0.03343219,-0.02801332
6,1781860051.363261,0.77410564,0.12995042,0.36652705,-2.27243985
6,1781860051.455535,0.90333834,0.24544883,0.43863484,-2.19592142
6,1781860051.519824,0.52113974,0.20434958,0.30679148,-1.08169088
6,1781860051.563990,0.23034456,0.03624876,0.22303874,-0.98275092
6,1781860051.639683,0.09116141,-0.10449309,0.14178332,-1.14025784
6,1781860051.705747,-0.26300308,-0.13117666,-0.14316843,0.37107568
6,1781860051.764373,-0.73322451,-0.12267700,-0.52400291,2.61080767
6,1781860051.859451,-0.77102216,-0.16834589,-0.62259373,2.72704623
6,1781860051.945999,-0.32736808,-0.22518519,-0.35955422,0.61034468
6,1781860052.012094,0.05022233,-0.18731256,-0.06212678,-0.93588178
6,1781860052.063412,0.16217399,-0.00010437,0.09045460,-0.65236388
6,1781860052.125195,0.34442543,0.31773260,0.29403046,-0.00771648
6,1781860052.169056,0.68088756,0.67637045,0.67617809,-0.01115859
6,1781860052.256751,0.85322530,0.92370417,1.01620993,-0.05683315
6,1781860052.309427,0.74047851,0.91859074,1.03596491,0.15671463
6,1781860052.382349,0.50579090,0.64592323,0.71194067,0.19122916
6,1781860052.463554,0.22567224,0.25388438,0.23518084,0.12105054
6,1781860052.503713,-0.09867123,-0.08789302,-0.18879959,0.28816599
6,1781860052.566233,-0.37784396,-0.38014990,-0.50270904,0.31027395
6,1781860052.658596,-0.58803023,-0.73666161,-0.80586040,-0.20494977
6,1781860052.719057,-0.84474195,-1.11267645,-1.12970461,-0.64738159
6,1781860052.746012,-1.11825455,-1.25873902,-1.27081861,-0.33130669
6,1781860052.850907,-1.11720573,-1.02082779,-1.02817977,0.26764106
6,1781860052.936633,-0.63966383,-0.52348109,-0.51351055,0.27404576
6,1781860052.983143,0.14448968,0.03253025,0.00142650,-0.20862155
6,1781860053.059531,0.88106960,0.57196453,0.43175995,-0.43579237
6,1781860053.104839,1.29814653,1.00516781,0.81229883,-0.25830037
6,1781860053.159497,1.20366666,1.06200243,0.98736037,-0.17292873
6,1781860053.244919,0.50803550,0.51798392,0.68645886,-0.40902573
6,1781860053.301455,-0.54710132,-0.41915768,-0.04226498,-0.64233144
6,1781860053.370881,-1.34193323,-1.11205739,-0.67550813,-0.53325303
6,1781860053.459750,-1.24465681,-0.93773614,-0.60119148,-0.07643498
6,1781860053.528718,-0.10880348,0.21575814,0.31469722,0.58214501
6,1781860053.569691,1.43759856,1.70227455,1.45981674,1.30849256
6,1781860053.649590,2.24657786,2.40605826,1.84270022,1.86504765
6,1781860053.707042,1.62161003,1.68947317,1.01950419,1.90373393
6,1781860053.767095,0.16084428,0.16403662,-0.33034794,1.28383411
6,1781860053.858971,-0.80878417,-0.87834523,-1.07622677,0.33108894
6,1781860053.932202,-0.73239541,-0.87339085,-0.87708230,-0.35426793
6,1781860053.993934,-0.26544233,-0.40608463,-0.38777592,-0.41012098
6,1781860054.046115,-0.18560457,-0.24241728,-0.26920803,-0.07746185
6,1781860054.107976,-0.51296062,-0.49582858,-0.48348959,0.01236688
6,1781860054.169847,-0.86421238,-0.85441279,-0.68044655,-0.42357826
6,1781860054.258505,-1.03122013,-1.07782452,-0.75394910,-0.95590169
6,1781860054.304756,-0.89059775,-1.00405563,-0.65418506,-1.19546717
6,1781860054.378162,-0.26911155,-0.48702524,-0.10142213,-1.55717729
6,1781860054.474114,0.65178174,0.30391147,0.88269670,-2.39093078
6,1781860054.525465,1.14207278,0.77139503,1.45138795,-2.71091130
6,1781860054.568540,0.65609704,0.47835844,0.78975990,-1.26206564
6,1781860054.658119,-0.02061456,-0.00589438,-0.02649599,0.07256946
6,1781860054.734485,0.53159081,0.49496561,0.58069452,-0.25137939
6,1781860054.778757,1.52941458,1.29428458,1.52460910,-0.95628717
6,1781860054.845886,2.33973929,1.89424087,2.12194805,-1.38311657
6,1781860054.933390,2.95787357,2.59098325,2.76706171,-1.11554203
6,1781860054.965985,3.15588120,3.15425444,3.43444590,-0.57900211
6,1781860055.055344,2.52367136,2.81140462,3.40237620,-0.62301018
6,1781860055.123264,0.81417321,1.06802590,1.99490409,-1.38274660
6,1781860055.170827,-1.80175950,-1.79447039,-0.66389535,-2.30781713
6,1781860055.244757,-4.37757527,-4.51151670,-3.30032303,-2.76361141
6,1781860055.308986,-5.06549684,-4.98887401,-3.89107566,-2.09802891
6,1781860055.368565,-2.53887833,-2.06671623,-1.56361693,-0.06356121
6,1781860055.459859,1.77576261,2.25332430,1.58549027,2.35324219
6,1781860055.523915,4.17067998,4.03493618,2.12860455,3.63771398
6,1781860055.569630,2.57416969,1.86524365,-0.53848914,3.48201997
6,1781860055.646103,-0.93317607,-1.46624805,-3.23397912,2.53663586
6,1781860055.714580,-2.69723700,-2.62725125,-3.00398012,0.91778560
6,1781860055.771295,-1.71267119,-1.42148917,-0.57175969,-1.14754878
6,1781860055.867038,0.01568386,0.10508892,1.22147699,-2.10996053
6,1781860055.963546,0.61795509,0.63302709,1.08648062,-0.90066504
6,1781860056.003569,0.29921049,0.46803419,0.11914000,1.06366348
6,1781860056.052797,0.18618038,0.40339607,-0.25010795,1.78891393
6,1781860056.097376,0.60393812,0.71486206,0.20119607,1.28323458
6,1781860056.177564,1.03454436,1.10154021,0.87342228,0.60631814
6,1781860056.263370,1.04535045,1.15445838,1.25106202,0.02569035
6,1781860056.326341,0.69637516,0.79874623,1.19597850,-0.60579920
6,1781860056.358427,0.28784434,0.29302752,0.88876048,-1.21329829
6,1781860056.450721,-0.00060704,-0.16157125,0.61284629,-1.92176361
6,1781860056.496604,-0.26496651,-0.61545430,0.33772537,-2.67841519
6,1781860056.585397,-0.67579600,-1.08987740,-0.28719431,-2.49987098
6,1781860056.666938,-1.12148065,-1.35891535,-1.24795319,-0.71578945
6,1781860056.729509,-1.25284234,-1.21794536,-1.88341559,1.43892074
6,1781860056.776358,-0.92206572,-0.76076046,-1.65843183,2.17569216
6,1781860056.821392,-0.33548247,-0.19969980,-0.80526893,1.52312454
6,1781860056.930743,0.24442683,0.37425971,0.11541211,0.79855309
6,1781860056.971076,0.70079921,0.88981760,0.83729508,0.49625140
6,1781860057.069052,0.95918863,1.15900750,1.27584591,0.17048529
6,1781860057.130179,0.91851350,1.01563098,1.24580983,-0.27337766
6,1781860057.180675,0.57639045,0.52894381,0.69275034,-0.43402459
6,1781860057.224496,0.11131641,-0.01433768,-0.03482478,-0.21606804
6,1781860057.297530,-0.26762321,-0.38206907,-0.50588391,0.01924880
6,1781860057.360449,-0.52382923,-0.60160371,-0.71712041,0.07754230
6,1781860057.468551,-0.74873383,-0.79024261,-1.00510419,0.35615736
6,1781860057.531740,-0.93636943,-0.87132529,-1.44403529,1.31028075
6,1781860057.589173,-0.93846303,-0.67635594,-1.57741814,2.38975841
6,1781860057.629256,-0.66008416,-0.26273275,-0.92956178,2.18638350
6,1781860057.702291,-0.17548286,0.12329530,0.29980556,0.25120223
6,1781860057.764184,0.35751376,0.36013008,1.31637049,-1.95924293
6,1781860057.860543,0.78269246,0.51529200,1.58780769,-2.75288894
6,1781860057.953656,0.97775604,0.65465673,1.35323754,-2.09906562
6,1781860057.999606,0.93361767,0.75558200,1.11157224,-1.09716866
6,1781860058.045277,0.75808174,0.74300391,0.90511585,-0.36404049
6,1781860058.106985,0.50759047,0.51491289,0.43588777,0.17740302
6,1781860058.158911,0.13057098,0.04413862,-0.30403799,0.53775967
6,1781860058.254344,-0.32427826,-0.47259948,-0.91104973,0.59607686
6,1781860058.315205,-0.61549799,-0.70457618,-1.04807798,0.52271924
6,1781860058.379359,-0.57550075,-0.52376432,-0.76525218,0.60243616
6,1781860058.472645,-0.34509603,-0.16952754,-0.36141378,0.75494429
6,1781860058.523069,-0.20478902,0.00299547,-0.12348749,0.68676029
6,1781860058.571144,-0.24790575,-0.10441840,-0.15813941,0.40516916
6,1781860058.661707,-0.33553366,-0.29209835,-0.33339845,0.17409088
6,1781860058.722628,-0.33531975,-0.36929930,-0.42423819,0.04306144
6,1781860058.786019,-0.26766604,-0.34978963,-0.36456269,-0.13837324
6,1781860058.825659,-0.18726422,-0.28995678,-0.26444651,-0.26339570
6,1781860058.921803,-0.06909188,-0.13392765,-0.17086561,-0.05731671
6,1781860058.985128,0.10444957,0.14107087,0.02475838,0.31420604
6,1781860059.059056,0.26909384,0.39497266,0.36012412,0.33021812
6,1781860059.122175,0.35734977,0.47859821,0.62910123,-0.06010423
6,1781860059.170309,0.34290050,0.39032238,0.59623656,-0.32562612
6,1781860059.221612,0.21011814,0.21228746,0.32241384,-0.22180030
6,1781860059.293219,0.01093093,0.03258517,0.10493461,-0.10415449
6,1781860059.366226,-0.09121790,-0.03466868,0.10230295,-0.16522970
6,1781860059.462947,0.01613270,0.08534302,0.19450459,-0.08208078
6,1781860059.533781,0.22266880,0.28820160,0.23507310,0.24379240
6,1781860059.562609,0.30182300,0.34385542,0.21659041,0.34782549
6,1781860059.618507,0.15823492,0.14495673,0.10816321,0.04831278
6,1781860059.698746,-0.10447401,-0.17991044,-0.19224914,-0.12963576
6,1781860059.772900,-0.32934027,-0.43143985,-0.59583802,0.12799390
6,1781860059.872159,-0.45028426,-0.54323750,-0.80894348,0.35492454
6,1781860059.959326,-0.48334645,-0.57233043,-0.74070222,0.16310410
6,1781860060.007957,-0.43524095,-0.54619712,-0.61148885,-0.09381868
6,1781860060.052798,-0.28965448,-0.41411583,-0.52563339,-0.02659331
6,1781860060.098987,-0.07086749,-0.15617652,-0.29820951,0.11654073
6,1781860060.159339,0.14499232,0.14172822,0.14568535,-0.01483618
6,1781860060.272617,0.28555771,0.36322943,0.54409490,-0.21201399
6,1781860060.326847,0.31873300,0.46393345,0.63861875,-0.06057729
6,1781860060.404603,0.25753978,0.46235902,0.49374030,0.35633234
6,1781860060.480283,0.15704760,0.38060408,0.34718340,0.52796555
6,1781860060.544346,0.08133996,0.25091153,0.30430732,0.23868584
6,1781860060.606069,0.04722378,0.13105324,0.27209183,-0.11753747
6,1781860060.663695,0.01934373,0.04894197,0.13064727,-0.10705516
6,1781860060.723683,-0.01707711,-0.01080847,-0.07140943,0.13738514
6,1781860060.787174,-0.02143621,-0.03586164,-0.14367144,0.19186036
